player_id,name,position,team,times_drafted
925,Adrian Peterson,RB,ARI,187
2439,Alvin Kamara,RB,NO,129
2293,Ameer Abdullah,RB,DET,246
1867,Bilal Powell,RB,NYJ,231
2071,CJ Anderson,RB,DEN,241
2364,CJ Prosise,RB,SEA,132
2129,Carlos Hyde,RB,SF,313
2339,Charcandrick West,RB,KC,42
2518,Chris Carson,RB,SEA,92
2434,Christian McCaffrey,RB,CAR,272
2432,Dalvin Cook,RB,MIN,263
1776,Danny Woodhead,RB,BAL,231
1341,Darren McFadden,RB,DAL,100
1105,Darren Sproles,RB,PHI,130
2297,David Johnson,RB,ARI,310
2382,DeAndre Washington,RB,OAK,85
1819,DeMarco Murray,RB,TEN,239
2350,Derrick Henry,RB,TEN,199
2144,Devonta Freeman,RB,ATL,189
1860,Dion Lewis,RB,NE,43
2440,Donta Foreman,RB,HOU,52
1907,Doug Martin,RB,TB,220
2285,Duke Johnson,RB,CLE,129
1987,Eddie Lacy,RB,SEA,130
2343,Ezekiel Elliott,RB,DAL,180
437,Frank Gore,RB,IND,179
1979,Giovani Bernard,RB,CIN,45
2219,Isaiah Crowell,RB,CLE,243
1827,Jacquizz Rodgers,RB,TB,87
1368,Jamaal Charles,RB,DEN,189
2445,Jamaal Williams,RB,GB,99
2154,James White,RB,NE,101
2284,Jay Ajayi,RB,PHI,282
2127,Jeremy Hill,RB,CIN,160
2438,Joe Mixon,RB,CIN,239
1344,Jonathan Stewart,RB,CAR,114
2387,Jonathan Williams,RB,NO,56
2384,Jordan Howard,RB,CHI,224
2450,Kareem Hunt,RB,KC,275
1908,Lamar Miller,RB,HOU,238
2023,Latavius Murray,RB,MIN,81
1781,LeGarrette Blount,RB,PHI,145
1645,LeSean McCoy,RB,BUF,257
1983,LeVeon Bell,RB,PIT,303
2433,Leonard Fournette,RB,JAX,211
1800,Mark Ingram,RB,NO,210
2469,Marlon Mack,RB,IND,113
740,Marshawn Lynch,RB,OAK,228
1354,Matt Forte,RB,NYJ,139
2282,Melvin Gordon,RB,LAC,318
2017,Mike Gillislee,RB,NE,172
2383,Paul Perkins,RB,NYG,181
2029,Rex Burkhead,RB,NE,103
2429,Rob Kelley,RB,WAS,239
2441,Samaje Perine,RB,WAS,116
2139,Terrance West,RB,BAL,177
2289,Tevin Coleman,RB,ATL,202
2033,Theo Riddick,RB,DET,199
2337,Thomas Rawls,RB,SEA,119
2280,Todd Gurley,RB,LAR,263
2317,Ty Montgomery,RB,GB,290
2385,Wendell Smallwood,RB,PHI,157
