name,position,team,times_drafted
Adrian Peterson,RB,ARI,187
Alvin Kamara,RB,NO,129
Ameer Abdullah,RB,DET,246
Bilal Powell,RB,NYJ,231
CJ Anderson,RB,DEN,241
CJ Prosise,RB,SEA,132
Carlos Hyde,RB,SF,313
Charcandrick West,RB,KC,42
Chris Carson,RB,SEA,92
Christian McCaffrey,RB,CAR,272
Dalvin Cook,RB,MIN,263
Danny Woodhead,RB,BAL,231
Darren McFadden,RB,DAL,100
Darren Sproles,RB,PHI,130
David Johnson,RB,ARI,310
DeAndre Washington,RB,OAK,85
DeMarco Murray,RB,TEN,239
Derrick Henry,RB,TEN,199
Devonta Freeman,RB,ATL,189
Dion Lewis,RB,NE,43
Donta Foreman,RB,HOU,52
Doug Martin,RB,TB,220
Duke Johnson,RB,CLE,129
Eddie Lacy,RB,SEA,130
Ezekiel Elliott,RB,DAL,180
Frank Gore,RB,IND,179
Giovani Bernard,RB,CIN,45
Isaiah Crowell,RB,CLE,243
Jacquizz Rodgers,RB,TB,87
Jamaal Charles,RB,DEN,189
Jamaal Williams,RB,GB,99
James White,RB,NE,101
Jay Ajayi,RB,PHI,282
Jeremy Hill,RB,CIN,160
Joe Mixon,RB,CIN,239
Jonathan Stewart,RB,CAR,114
Jonathan Williams,RB,NO,56
Jordan Howard,RB,CHI,224
Kareem Hunt,RB,KC,275
Lamar Miller,RB,HOU,238
Latavius Murray,RB,MIN,81
LeGarrette Blount,RB,PHI,145
LeSean McCoy,RB,BUF,257
LeVeon Bell,RB,PIT,303
Leonard Fournette,RB,JAX,211
Mark Ingram,RB,NO,210
Marlon Mack,RB,IND,113
Marshawn Lynch,RB,OAK,228
Matt Forte,RB,NYJ,139
Melvin Gordon,RB,LAC,318
Mike Gillislee,RB,NE,172
Paul Perkins,RB,NYG,181
Rex Burkhead,RB,NE,103
Rob Kelley,RB,WAS,239
Samaje Perine,RB,WAS,116
Terrance West,RB,BAL,177
Tevin Coleman,RB,ATL,202
Theo Riddick,RB,DET,199
Thomas Rawls,RB,SEA,119
Todd Gurley,RB,LAR,263
Ty Montgomery,RB,GB,290
Wendell Smallwood,RB,PHI,157
